Id,SalePrice
2658,102048.9816536315
2718,168700.10886206038
2414,214926.18618596252
1989,111191.32138604314
625,171460.87105543367
333,95923.29700345342
1327,116202.87465707041
858,148387.95218657056
95,182624.7660393424
1568,164236.6898883942
2482,152660.89920015156
1364,124703.6528444863
2584,147511.98175831893
818,289044.1396863234
2673,148457.0758102221
2089,130282.52876659516
1297,131020.99984499473
790,122088.51607283189
2616,186783.66032353122
720,171449.94953990556
222,154694.69461551658
557,124435.70746854757
1148,199004.55247177035
2766,167977.16221884705
534,171067.33772307937
1452,118012.50147397509
630,143030.61326394288
2648,110311.1707849755
125,146782.69403023014
1904,72737.49851095791
1670,111574.44833133025
756,106179.15414943639
717,169409.51516695484
1032,162292.19223306258
852,207950.19668295782
1731,178932.02005278465
2639,106156.69530764974
2071,81274.83119195914
1267,126316.27859770601
1851,183580.44368003646
567,163180.18006406093
2439,199975.49293569586
1898,152683.64994000524
647,161046.9613118345
2256,206175.46714365386
979,97694.79093449246
1444,215739.65804164906
2485,125251.88793185823
157,139649.83472948032
88,124292.9521804897
2003,106149.80461028071
186,182058.06117499596
1425,238654.88482193954
2695,132650.96773995354
738,109883.3404235026
395,152559.4045256114
1353,157756.62079611
1878,140229.87126037502
390,159023.5353026766
1456,227528.74193867014
1103,320175.1363754628
1387,132454.18977461883
2070,155796.10235111043
1199,170001.81652542055
2479,168647.1865466642
501,323734.1212786644
2362,104550.82449953597
1718,182158.83247746972
2188,105742.22945209981
1483,154740.33688259454
2557,102165.19372654113
437,371095.8787139127
2224,196884.25507215317
1628,170333.22786218394
397,134338.48350804663
587,188305.2802557704
2182,1115534.2332473604
971,129213.8501472546
2611,153929.94760221842
1887,99712.218939229
2399,372899.9411903161
2148,195506.58207458197
304,123601.28174996984
1997,122030.74028243384
2817,122466.21138884778
1431,187098.31510217628
427,302629.58792880975
263,123459.17342046807
598,165520.05652999587
2895,215035.52208196805
687,141232.43202745178
1822,135570.5394697147
2191,106970.64182815257
179,121294.88928506743
1009,199684.5679343292
2010,129927.89679889103
1991,127839.45196754643
1411,177117.4747554781
1721,215772.27845149275
1144,184988.92189208732
593,216298.0037557525
575,320243.4271366937
1249,170403.8366454321
1604,130166.66269928507
1064,584600.1852623003
1923,151647.53674938474
1988,101592.48421469072
2325,170666.1263531474
114,199853.70396081233
2700,175913.0187410753
217,123438.84264613522
343,170800.50789078636
386,222449.3601111448
2005,109766.6892502238
2908,140042.46075724455
1814,238762.0880076292
2446,635036.14846693
208,128183.49245077695
1679,114784.80243289618
822,343815.2033244825
6,189389.82478521392
1781,421109.9734596378
2397,269201.78949440597
2340,320524.4901547967
1618,164011.37698416476
2843,134453.62001268324
1061,382262.88469205843
2786,125604.08034857393
1935,140184.19668485736
1341,118801.57386619368
521,279140.6578433329
2136,135546.0760249919
996,201814.50584530324
227,158358.45365103838
135,172955.67422289037
1167,158095.10718695115
294,236869.94519486214
1776,188290.6802649147
540,160833.92597108494
1717,186002.92652705786
2303,126824.11671184693
116,176442.745790455
127,150368.11084718342
1371,139376.0494476213
1014,147161.54140831743
1507,91711.75227239427
702,122122.72932961771
750,128124.90756627254
261,147640.18094757915
1559,65011.15790625499
577,207973.07798047637
2812,194962.53252405496
2080,154185.92869282272
1368,106148.62330441452
2376,131665.61319084332
659,107689.21532056067
1235,129170.44946796558
332,88157.19094370815
1917,141512.23627459278
2094,244812.09532645709
1460,260711.1502056394
1471,214168.88665969894
1509,136345.83587814076
1922,143568.5389901816
433,606964.6262994322
460,253708.41734411774
1116,235299.86931260637
1137,162079.8139852062
53,167532.80123720053
2354,259578.59362214518
1475,194283.259395783
1761,866916.2322191877
842,146995.79142875527
2739,178851.45013153742
2509,150161.47236027961
1007,204896.3007665996
2610,175023.21698284673
1952,97793.60777248067
2719,171272.5870989594
2921,93496.68714446921
1966,145793.72623865015
292,117119.7873801286
1204,184024.21375246596
1829,261827.3250089823
2419,186953.77131529726
391,149781.16622624767
798,116750.89669248545
481,197207.3651482241
193,186092.6371023903
555,129437.84348345474
899,70840.54769572619
2357,183430.16995046908
328,119346.19912540342
1356,125373.12382748413
1154,118447.71381379988
1730,176792.76638014868
2249,154292.63642212786
1119,275744.85972342786
2856,142486.85168565897
1394,128848.94340504838
2587,110396.80999312075
61,309116.4406798144
2661,179875.36811300603
2711,125414.73091330664
1147,176903.1674893357
757,130574.96132669595
2623,106072.68734624091
2378,136967.11779070785
1413,138623.8199150229
1722,213684.89996400595
1112,210818.1702049901
1623,193626.01109089213
1201,175900.5203028181
1513,126320.66173206718
957,524231.59884041507
1171,281846.0948536188
1145,187480.8477470394
2726,230184.56557684607
703,134199.9346702998
760,85875.32539808283
